well,red_vol,yellow_vol,blue_vol,water_vol,measured_red,measured_green,measured_blue
A1,0,200,0,0,165.043212890625,171.080810546875,55.935386657714844
A2,200,0,0,0,156.6201629638672,138.8661346435547,130.57937622070312
A3,0,151,28,21,146.0760040283203,168.56141662597656,59.953704833984375
A4,0,80,0,120,164.46493530273438,171.07333374023438,69.49278259277344
A5,35,127,0,38,154.67657470703125,159.39810180664062,49.27277374267578
A6,0,20,0,180,167.31787109375,176.7288360595703,121.39569854736328
A7,72,80,0,48,162.37310791015625,168.0655975341797,71.4802017211914
A8,140,0,0,60,159.6476287841797,154.0328826904297,143.63394165039062
A9,0,0,140,60,76.57810974121094,137.90814208984375,135.14727783203125
A10,0,0,0,200,162.06866455078125,165.88035583496094,148.10154724121094
A11,200,0,0,0,125.0186767578125,110.76741027832031,110.06159973144531
A12,90,0,94,16,76.93435668945312,107.50813293457031,115.01187133789062
B1,105,0,0,95,156.84922790527344,155.07156372070312,141.79869079589844
B2,0,0,41,159,124.70060729980469,150.96206665039062,141.2592010498047
B3,140,0,0,60,160.2443084716797,154.5299072265625,145.68246459960938
B4,20,0,0,180,163.98348999023438,166.1590118408203,148.71241760253906
B5,0,0,140,60,64.21780395507812,123.6910400390625,121.11758422851562
B6,0,80,0,120,167.6432342529297,178.38182067871094,73.93535614013672
B7,0,112,0,88,164.51705932617188,174.34779357910156,62.431556701660156
B8,80,0,0,120,158.93472290039062,161.00677490234375,142.08523559570312
B9,0,137,0,63,157.23129272460938,164.0382843017578,50.121307373046875
B10,0,155,34,11,127.22724151611328,145.81658935546875,40.829124450683594
B11,0,106,48,46,122.27265167236328,147.42103576660156,57.36234664916992
B12,0,0,0,200,165.26895141601562,169.85511779785156,154.08677673339844
C1,0,21,0,179,159.6671142578125,164.7577667236328,120.17456817626953
C2,0,20,0,180,160.37110900878906,166.39492797851562,121.6136703491211
C3,0,0,153,47,63.986305236816406,128.2418212890625,130.2659149169922
C4,0,0,140,60,69.10151672363281,132.88116455078125,130.6050567626953
C5,0,0,0,200,158.77268981933594,164.00369262695312,143.2302703857422
C6,0,140,0,60,154.7989501953125,162.69146728515625,45.213951110839844
C7,0,0,143,57,63.34648895263672,124.71965026855469,119.3443603515625
C8,0,140,0,60,153.5404052734375,160.45301818847656,44.49721908569336
C9,20,0,0,180,160.62423706054688,162.117919921875,144.3488006591797
C10,80,0,0,120,147.97921752929688,146.27415466308594,135.0703887939453
C11,0,0,20,180,144.57301330566406,158.96237182617188,144.7607879638672
C12,0,0,200,0,50.075252532958984,122.03665924072266,125.87702941894531
D1,0,23,61,116,133.3882293701172,166.71588134765625,131.41871643066406
D2,0,120,0,80,160.47393798828125,166.8928680419922,60.1528434753418
D3,0,0,80,120,106.03108215332031,146.36111450195312,134.1472930908203
D4,0,200,0,0,159.3362579345703,168.21629333496094,48.5740966796875
D5,0,53,84,63,97.67439270019531,145.72950744628906,70.87907409667969
D6,137,0,39,24,130.37684631347656,145.941650390625,139.1132354736328
D7,0,20,0,180,167.29747009277344,176.86672973632812,129.00856018066406
D8,140,0,0,60,154.80726623535156,148.4087371826172,138.86395263671875
D9,0,0,62,138,117.01398468017578,157.3686981201172,146.6475067138672
D10,36,0,23,141,145.41978454589844,158.3289794921875,145.6597900390625
D11,80,0,0,120,152.4827117919922,155.8285369873047,142.60955810546875
D12,0,0,20,180,149.30252075195312,163.8896942138672,150.2909393310547
E1,0,0,20,180,138.28981018066406,150.34886169433594,133.7241668701172
E2,0,0,80,120,107.23118591308594,141.57272338867188,128.52633666992188
E3,121,0,0,79,144.03060913085938,137.66062927246094,127.890625
E4,0,0,20,180,124.17207336425781,134.65284729003906,118.64485168457031
E5,0,0,0,200,144.2713165283203,146.19569396972656,125.75393676757812
E6,0,106,78,16,83.97686004638672,116.9993896484375,33.391876220703125
E7,0,0,62,138,100.9348373413086,131.37255859375,117.97869873046875
E8,0,68,0,132,148.0260772705078,152.12623596191406,62.535133361816406
E9,131,0,61,8,100.02142333984375,114.67227172851562,111.87471008300781
E10,20,0,0,180,145.114501953125,147.8225555419922,133.19837951660156
E11,0,0,140,60,69.83016204833984,123.03235626220703,117.12860870361328
E12,96,0,29,75,113.88346862792969,114.72908782958984,107.00724792480469
F1,0,140,0,60,147.97756958007812,151.73910522460938,50.77410125732422
F2,0,80,0,120,143.2395477294922,146.86212158203125,55.72956466674805
F3,146,30,0,24,145.95188903808594,135.0111541748047,83.7660140991211
F4,0,174,22,4,140.9169158935547,153.73486328125,45.730506896972656
F5,125,35,0,40,147.27574157714844,139.79766845703125,79.44007873535156
F6,55,34,26,85,139.56422424316406,155.5734100341797,99.273681640625
F7,126,40,29,5,131.12632751464844,135.31349182128906,80.63063049316406
F8,143,0,0,57,147.14524841308594,137.66600036621094,127.41142272949219
F9,87,0,0,113,154.7887725830078,156.01675415039062,144.06898498535156
F10,0,0,200,0,46.83757400512695,116.97367095947266,122.44223022460938
F11,94,85,0,21,143.75308227539062,143.58120727539062,62.62141418457031
F12,80,60,0,60,156.7870635986328,158.86256408691406,95.19224548339844
G1,0,130,0,70,156.11721801757812,160.99520874023438,62.232383728027344
G2,0,0,200,0,49.6610221862793,110.23185729980469,110.26531219482422
G3,20,0,0,180,148.99732971191406,151.8802947998047,136.42428588867188
G4,0,0,142,58,108.15996551513672,167.96096801757812,160.37901306152344
G5,200,0,0,0,126.30409240722656,107.1484146118164,101.83062744140625
G6,0,64,135,1,47.7983512878418,91.6795654296875,35.119911193847656
G7,43,0,23,134,120.95880126953125,127.70700073242188,111.83668518066406
G8,39,0,0,161,127.02593994140625,124.33793640136719,103.65280151367188
G9,80,0,0,120,129.9655303955078,129.62518310546875,114.94813537597656
G10,0,20,0,180,125.40252685546875,126.53254699707031,85.90204620361328
G11,140,0,0,60,113.09463500976562,106.74343872070312,73.31605529785156
G12,0,0,80,120,108.19061279296875,132.2706298828125,114.85562133789062
H1,0,0,200,0,59.73948287963867,111.0943603515625,109.3662109375
H2,0,200,0,0,132.11886596679688,131.5240936279297,38.09825897216797
H3,67,106,0,27,126.14956665039062,121.31291961669922,41.7005500793457
H4,0,0,80,120,105.3868179321289,145.09109497070312,131.40562438964844
H5,0,80,0,120,133.11878967285156,137.6449737548828,50.640380859375
H6,119,27,20,34,115.43179321289062,112.3309326171875,72.67475128173828
H7,0,200,0,0,124.17471313476562,120.79156494140625,18.260087966918945
H8,0,140,0,60,134.1177520751953,139.41064453125,35.3620491027832
H9,122,0,76,2,98.1021499633789,121.04020690917969,124.25638580322266
H10,200,0,0,0,132.62242126464844,120.8615493774414,116.09425354003906
H11,0,173,26,1,121.16065216064453,125.9738998413086,41.36647033691406
H12,0,95,0,105,159.177978515625,163.64234924316406,90.3366928100586
H12',0,95,0,105,141.57696533203125,144.3342742919922,46.685176849365234
H11',0,173,26,1,142.5935516357422,129.64273071289062,117.73876190185547
H10',200,0,0,0,146.175048828125,163.2515106201172,66.61338806152344
H9',122,0,76,2,168.53533935546875,179.30335998535156,85.43451690673828
H8',0,140,0,60,150.63560485839844,156.8689727783203,54.415618896484375
H7',0,200,0,0,156.8625946044922,164.8461151123047,113.96614837646484
H6',119,27,20,34,129.6239471435547,124.69564056396484,41.31396484375
H5',0,80,0,120,136.7503662109375,128.56446838378906,115.99332427978516
H4',0,0,80,120,63.202293395996094,114.0018081665039,110.6734848022461
H3',67,106,0,27,147.29269409179688,151.94036865234375,134.74368286132812
H2',0,200,0,0,118.43008422851562,103.57901763916016,104.56278991699219
H1',0,0,200,0,77.07281494140625,97.14436340332031,105.21621704101562
G12',0,0,80,120,140.48606872558594,138.25245666503906,123.74653625488281
G11',140,0,0,60,107.55078125,127.02998352050781,113.61137390136719
G10',0,20,0,180,138.2239532470703,134.31231689453125,120.70561218261719
G9',80,0,0,120,125.30046081542969,125.56536865234375,109.62516784667969
G8',39,0,0,161,51.15034484863281,101.61544799804688,101.76763153076172
G7',43,0,23,134,153.18101501464844,161.41810607910156,64.247802734375
G6',0,64,135,1,142.11978149414062,147.50396728515625,40.59312438964844
G5',200,0,0,0,140.7763214111328,137.18313598632812,119.76812744140625
G4',0,0,142,58,163.87576293945312,170.0135955810547,63.052696228027344
G3',20,0,0,180,124.94830322265625,141.72833251953125,39.78703689575195
G2',0,0,200,0,125.07311248779297,151.16043090820312,60.204872131347656
G1',0,130,0,70,137.6616668701172,137.1785430908203,121.2990493774414
F12',80,60,0,60,157.19818115234375,163.40701293945312,121.68669128417969
F11',94,85,0,21,159.08641052246094,167.35897827148438,123.91770935058594
F10',0,0,200,0,67.45160675048828,130.2806854248047,133.1586151123047
F9',87,0,0,113,67.26305389404297,125.04818725585938,124.3775634765625
F8',143,0,0,57,153.85113525390625,157.89761352539062,139.9812774658203
F7',126,40,29,5,158.34060668945312,166.19696044921875,51.525367736816406
F6',55,34,26,85,68.47394561767578,122.72618865966797,115.50284576416016
F5',125,35,0,40,151.4979705810547,157.41989135742188,44.6567497253418
F4',0,174,22,4,158.98040771484375,161.750732421875,143.30194091796875
F3',146,30,0,24,165.76881408691406,167.0296173095703,151.45370483398438
F2',0,80,0,120,148.5000762939453,165.86212158203125,150.86376953125
F1',0,140,0,60,49.5059928894043,114.15717315673828,116.96139526367188
E12',96,0,29,75,119.40198516845703,147.28968811035156,116.06448364257812
E11',0,0,140,60,138.82386779785156,144.5680694580078,48.588687896728516
E10',20,0,0,180,102.62408447265625,137.4394073486328,123.42251586914062
E9',131,0,61,8,139.8480987548828,144.12265014648438,38.345821380615234
E8',0,68,0,132,97.50019073486328,132.91505432128906,67.86846923828125
E7',0,0,62,138,109.27671813964844,113.90675354003906,105.77783966064453
E6',0,106,78,16,146.344482421875,150.11558532714844,106.69282531738281
E5',0,0,0,200,133.7279052734375,124.12567138671875,113.87718963623047
E4',0,0,20,180,107.64009857177734,142.3126983642578,131.9082794189453
E3',121,0,0,79,144.59060668945312,156.35397338867188,144.3972930908203
E2',0,0,80,120,152.82464599609375,152.8975830078125,141.0907745361328
E1',0,0,20,180,151.86854553222656,165.21034240722656,149.53062438964844
D12',0,0,20,180,156.9893341064453,171.84756469726562,156.80926513671875
D11',80,0,0,120,115.44386291503906,154.6869354248047,139.92910766601562
D10',36,0,23,141,125.18228149414062,118.39981079101562,109.23895263671875
D9',0,0,62,138,145.16636657714844,158.11155700683594,142.2760772705078
D8',140,0,0,60,163.051513671875,165.84498596191406,148.96380615234375
D7',0,20,0,180,112.01969909667969,157.14450073242188,65.38356018066406
D6',137,0,39,24,115.21098327636719,160.7113800048828,149.2565460205078
D5',0,53,84,63,167.7368927001953,175.32772827148438,78.74514770507812
D4',0,200,0,0,116.62657928466797,137.89854431152344,136.0740966796875
D3',0,0,80,120,163.16441345214844,164.94444274902344,151.4889678955078
D2',0,120,0,80,85.13584899902344,148.86904907226562,142.48617553710938
D1',0,23,61,116,149.21560668945312,154.62063598632812,145.6181182861328
C12',0,0,200,0,157.8779296875,163.8968048095703,55.541778564453125
C11',0,0,20,180,153.88336181640625,161.75547790527344,65.27803039550781
C10',80,0,0,120,142.1239471435547,126.68016052246094,80.60047149658203
C9',20,0,0,180,139.19810485839844,153.26564025878906,40.56187438964844
C8',0,140,0,60,142.27725219726562,134.0845947265625,72.0235366821289
C7',0,0,143,57,132.7006072998047,144.00318908691406,85.93965148925781
C6',0,140,0,60,131.30728149414062,136.27481079101562,76.4472885131836
C5',0,0,0,200,155.14295959472656,147.05137634277344,137.6005401611328
C4',0,0,140,60,148.56204223632812,148.5706329345703,137.37347412109375
C3',0,0,153,47,55.77312088012695,129.54476928710938,136.0401153564453
C2',0,20,0,180,151.45111083984375,153.20826721191406,64.09367370605469
C1',0,21,0,179,145.73150634765625,144.42063903808594,75.12154388427734
B12',0,0,0,200,153.47198486328125,160.64906311035156,60.211021423339844
B11',0,106,48,46,53.95827102661133,119.66351318359375,120.96936798095703
B10',0,155,34,11,165.89974975585938,169.5680389404297,153.5016326904297
B9',0,137,0,63,70.20923614501953,137.4549560546875,137.74630737304688
B8',80,0,0,120,145.51560974121094,129.8045654296875,125.73597717285156
B7',0,112,0,88,75.95343017578125,137.56295776367188,69.0921630859375
B6',0,80,0,120,151.6754913330078,165.7858123779297,151.52674865722656
B5',0,0,140,60,153.45693969726562,155.4910430908203,132.43063354492188
B4',20,0,0,180,150.7562713623047,150.1590118408203,138.00125122070312
B3',140,0,0,60,166.9989471435547,173.965087890625,128.62228393554688
B2',0,0,41,159,157.22061157226562,151.76206970214844,119.8991928100586
B1',105,0,0,95,123.73517608642578,163.47210693359375,142.15811157226562
A12',90,0,94,16,59.73833465576172,121.20699310302734,120.49198150634766
A11',200,0,0,0,155.50582885742188,161.55313110351562,50.54445266723633
A10',0,0,0,200,130.11007690429688,126.9176254272461,45.0870475769043
A9',0,0,140,60,103.00948333740234,148.04931640625,136.6727752685547
A8',140,0,0,60,166.6196746826172,175.493408203125,76.07144165039062
A7',72,80,0,48,141.83700561523438,145.3328857421875,101.89495086669922
A6',0,20,0,180,169.58822631835938,177.26588439941406,55.50680923461914
A5',35,127,0,38,169.00369262695312,178.29043579101562,61.23136901855469
A4',0,80,0,120,97.85382080078125,126.48445129394531,132.97055053710938
A3',0,151,28,21,154.3560028076172,143.00140380859375,142.51370239257812
A2',200,0,0,0,150.66726684570312,162.37942504882812,56.380096435546875
A1',0,200,0,0,172.2660675048828,180.39700317382812,89.15062713623047
